num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,-0.04926323890686035,0.005817413330078125,4.107725620269775,-5.9604644775390625e-06,0.050139427185058594,-0.03589987754821777,0.01024007797241211,0.6724834442138672,-0.6649494171142578
1,x0,xt,ml,0.03265738487243652,0.0023484230041503906,-1.3641595840454102,0.00057220458984375,-0.02568960189819336,0.021636486053466797,0.0017344951629638672,-0.26838183403015137,0.27438998222351074
2,x0,xt,ml,0.05943775177001953,0.002816319465637207,-2.768838405609131,-0.0008612871170043945,-0.04304349422454834,0.03317296504974365,0.004369020462036133,-0.4615664482116699,0.4807710647583008
3,x0,xt,ml,-0.0235825777053833,0.017085671424865723,4.521697998046875,-0.00247955322265625,0.11329054832458496,-0.13243556022644043,-0.10558962821960449,0.6050527095794678,-0.8524954319000244
4,x0,xt,ml,-0.0037729740142822266,0.006091594696044922,5.07059383392334,-0.0024527311325073242,0.1565396785736084,-0.19144415855407715,-0.13556480407714844,0.6611764430999756,-0.9152531623840332
5,x0,xt,ml,-0.05879402160644531,-0.013637542724609375,-4.048681259155273,0.006008148193359375,-0.09349584579467773,0.07669329643249512,0.022232532501220703,-0.5853652954101562,0.6634056568145752
6,x0,xt,ml,0.01659989356994629,0.0015139579772949219,-0.39825737476348877,0.00362396240234375,-0.03867447376251221,0.043138861656188965,-0.009486079216003418,-0.22386908531188965,0.19557178020477295
7,x0,xt,ml,-0.10219216346740723,-0.01163482666015625,4.903492450714111,-0.023218989372253418,0.1273900270462036,-0.1931607723236084,-0.04840195178985596,0.6750285625457764,-0.8469045162200928
8,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,x0,xt,ml,0.002175569534301758,0.005269050598144531,4.7553391456604,-0.002872943878173828,0.0818789005279541,-0.05792379379272461,0.0453948974609375,0.539928674697876,-0.5455672740936279
12,x0,xt,ml,0.004380941390991211,0.0074803829193115234,4.305064678192139,-0.0025093555450439453,0.10976195335388184,-0.07582902908325195,0.06198287010192871,0.7291138172149658,-0.7368147373199463
13,x0,xt,ml,-0.03210306167602539,0.0015139579772949219,-2.3747832775115967,0.0006973743438720703,-0.0542372465133667,0.04420578479766846,0.0057697296142578125,-0.2841681241989136,0.3013908863067627
14,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,x0,xt,ml,-0.06347894668579102,0.004327297210693359,4.062783718109131,-0.00826120376586914,0.08074045181274414,-0.22302865982055664,0.07625222206115723,0.9727299213409424,-0.8719682693481445
19,x0,xt,ml,0.024783611297607422,0.004521012306213379,-4.100927829742432,-0.00028014183044433594,-0.11217892169952393,0.1100003719329834,-0.045168399810791016,-0.5990892648696899,0.5981206893920898
20,x0,xt,ml,0.04458725452423096,0.008296966552734375,-2.4999232292175293,-0.0019371509552001953,-0.06392598152160645,0.06260275840759277,-0.034433603286743164,-0.36416053771972656,0.3548860549926758
21,x0,xt,ml,0.02714693546295166,0.004971027374267578,-0.4927992820739746,-0.0011146068572998047,-0.0375211238861084,0.03834664821624756,-0.021323561668395996,-0.219804048538208,0.20861327648162842
22,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,x0,xt,ml,0.028884410858154297,-0.020191073417663574,4.916944980621338,-0.008463859558105469,0.06279349327087402,-0.21183490753173828,0.08572936058044434,1.0459572076797485,-0.9337425231933594
36,x0,xt,ml,0.056165456771850586,-0.010836124420166016,4.430785655975342,-0.039315223693847656,0.13594627380371094,-0.24958252906799316,0.034880638122558594,0.832819938659668,-0.7637441158294678
37,x0,xt,ml,0.06886720657348633,-0.009548664093017578,4.046195983886719,-0.037384033203125,0.12841224670410156,-0.2367556095123291,0.027507543563842773,0.877302885055542,-0.7931947708129883
