num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,x0,xt,ml,2.9802322387695312e-05,1.1920928955078125e-05,-5.9604644775390625e-06,-1.7881393432617188e-05,-3.5762786865234375e-05,8.940696716308594e-05,6.556510925292969e-05,-4.172325134277344e-05,5.9604644775390625e-06
3,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,x0,xt,ml,-8.940696716308594e-05,-1.7881393432617188e-05,5.9604644775390625e-06,-1.1920928955078125e-05,-1.7881393432617188e-05,8.940696716308594e-05,6.556510925292969e-05,-3.5762786865234375e-05,-5.9604644775390625e-06
6,x0,xt,ml,-8.940696716308594e-05,-1.1920928955078125e-05,0.0,-1.1920928955078125e-05,-1.7881393432617188e-05,9.5367431640625e-05,5.9604644775390625e-05,-4.172325134277344e-05,5.9604644775390625e-06
7,x0,xt,ml,-9.5367431640625e-05,-1.7881393432617188e-05,-5.9604644775390625e-06,-5.9604644775390625e-06,-1.1920928955078125e-05,8.940696716308594e-05,8.344650268554688e-05,-2.9802322387695312e-05,-5.9604644775390625e-06
8,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,x0,xt,ml,0.00014901161193847656,1.7881393432617188e-05,-1.1920928955078125e-05,0.0,-1.1920928955078125e-05,6.556510925292969e-05,4.76837158203125e-05,-3.5762786865234375e-05,5.9604644775390625e-06
10,x0,xt,ml,0.00013709068298339844,2.9802322387695312e-05,0.0,-1.1920928955078125e-05,-1.7881393432617188e-05,5.9604644775390625e-05,4.172325134277344e-05,-2.9802322387695312e-05,0.0
11,x0,xt,ml,0.00019669532775878906,5.364418029785156e-05,0.0,0.0,-4.76837158203125e-05,7.152557373046875e-05,3.5762786865234375e-05,-3.5762786865234375e-05,-1.7881393432617188e-05
12,x0,xt,ml,0.00020265579223632812,2.384185791015625e-05,1.1920928955078125e-05,-2.9802322387695312e-05,2.9802322387695312e-05,3.5762786865234375e-05,1.1920928955078125e-05,-4.76837158203125e-05,5.9604644775390625e-06
13,x0,xt,ml,8.940696716308594e-05,3.5762786865234375e-05,0.0,-5.9604644775390625e-06,0.0,6.556510925292969e-05,1.7881393432617188e-05,-1.7881393432617188e-05,1.1920928955078125e-05
14,x0,xt,ml,0.0,0.0,0.0,-1.1920928955078125e-05,-1.7881393432617188e-05,7.152557373046875e-05,5.9604644775390625e-05,-2.9802322387695312e-05,0.0
15,x0,xt,ml,0.00010728836059570312,3.5762786865234375e-05,-2.9802322387695312e-05,5.9604644775390625e-06,-2.9802322387695312e-05,7.748603820800781e-05,2.384185791015625e-05,-1.7881393432617188e-05,0.0
16,x0,xt,ml,0.00013113021850585938,1.1920928955078125e-05,0.0,-1.1920928955078125e-05,1.1920928955078125e-05,4.172325134277344e-05,1.7881393432617188e-05,-3.5762786865234375e-05,1.1920928955078125e-05
17,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,x0,xt,ml,-0.0005125999450683594,-7.748603820800781e-05,0.0,-2.384185791015625e-05,-3.5762786865234375e-05,0.00013113021850585938,0.00011324882507324219,-4.76837158203125e-05,2.9802322387695312e-05
19,x0,xt,ml,-0.0004947185516357422,-8.940696716308594e-05,-1.1920928955078125e-05,-2.384185791015625e-05,-4.172325134277344e-05,0.00013113021850585938,0.00011324882507324219,-5.9604644775390625e-05,2.384185791015625e-05
20,x0,xt,ml,-0.0005245208740234375,-8.344650268554688e-05,-1.1920928955078125e-05,-1.1920928955078125e-05,-1.7881393432617188e-05,0.00013709068298339844,0.00011324882507324219,-5.9604644775390625e-05,2.384185791015625e-05
21,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,x0,xt,ml,-0.0005841255187988281,-0.00010728836059570312,-1.1920928955078125e-05,-1.1920928955078125e-05,-2.384185791015625e-05,0.00013709068298339844,0.00013113021850585938,-7.152557373046875e-05,2.384185791015625e-05
24,x0,xt,ml,5.9604644775390625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,x0,xt,ml,-0.00017881393432617188,-4.76837158203125e-05,0.0,-1.7881393432617188e-05,-2.9802322387695312e-05,9.5367431640625e-05,7.152557373046875e-05,-4.76837158203125e-05,1.1920928955078125e-05
26,x0,xt,ml,-0.00017881393432617188,-3.5762786865234375e-05,0.0,-1.1920928955078125e-05,-1.7881393432617188e-05,8.940696716308594e-05,7.748603820800781e-05,-4.172325134277344e-05,5.9604644775390625e-06
27,x0,xt,ml,-7.152557373046875e-05,-1.1920928955078125e-05,-5.9604644775390625e-06,-1.1920928955078125e-05,-2.9802322387695312e-05,8.940696716308594e-05,7.748603820800781e-05,-4.76837158203125e-05,1.1920928955078125e-05
28,x0,xt,ml,-8.940696716308594e-05,0.0,-1.7881393432617188e-05,-1.1920928955078125e-05,-2.9802322387695312e-05,9.5367431640625e-05,7.748603820800781e-05,-4.76837158203125e-05,5.9604644775390625e-06
29,x0,xt,ml,-8.940696716308594e-05,-1.1920928955078125e-05,-5.9604644775390625e-06,-1.7881393432617188e-05,-2.384185791015625e-05,7.748603820800781e-05,5.9604644775390625e-05,-3.5762786865234375e-05,5.9604644775390625e-06
30,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,x0,xt,ml,-5.9604644775390625e-06,0.0,0.0,0.0,5.9604644775390625e-06,-5.9604644775390625e-06,0.0,-5.9604644775390625e-06,0.0
32,x0,xt,ml,-5.9604644775390625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,x0,xt,ml,-1.7881393432617188e-05,0.0,0.0,-1.1920928955078125e-05,-3.5762786865234375e-05,8.940696716308594e-05,7.152557373046875e-05,-4.76837158203125e-05,0.0
38,x0,xt,ml,-1.7881393432617188e-05,0.0,5.9604644775390625e-06,-1.1920928955078125e-05,-4.172325134277344e-05,8.940696716308594e-05,6.556510925292969e-05,-4.76837158203125e-05,1.1920928955078125e-05
39,x0,xt,ml,1.1920928955078125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,x0,xt,ml,1.7881393432617188e-05,5.9604644775390625e-06,0.0,0.0,0.0,0.0,0.0,5.9604644775390625e-06,0.0
41,x0,xt,ml,2.9802322387695312e-05,5.9604644775390625e-06,0.0,5.9604644775390625e-06,0.0,-5.9604644775390625e-06,0.0,0.0,0.0
42,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,x0,xt,ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,x0,xt,ml,3.5762786865234375e-05,1.7881393432617188e-05,0.0,-5.9604644775390625e-06,-2.9802322387695312e-05,9.5367431640625e-05,6.556510925292969e-05,-4.172325134277344e-05,2.384185791015625e-05
45,x0,xt,ml,3.5762786865234375e-05,2.384185791015625e-05,-5.9604644775390625e-06,-1.1920928955078125e-05,-2.9802322387695312e-05,9.5367431640625e-05,7.748603820800781e-05,-4.172325134277344e-05,1.7881393432617188e-05
46,x0,xt,ml,2.9802322387695312e-05,1.7881393432617188e-05,-5.9604644775390625e-06,-2.384185791015625e-05,-4.172325134277344e-05,8.940696716308594e-05,7.152557373046875e-05,-4.172325134277344e-05,5.9604644775390625e-06
47,x0,xt,ml,2.9802322387695312e-05,5.9604644775390625e-06,-5.9604644775390625e-06,-1.7881393432617188e-05,-3.5762786865234375e-05,8.940696716308594e-05,6.556510925292969e-05,-4.172325134277344e-05,0.0
48,x0,xt,ml,0.00030994415283203125,5.9604644775390625e-05,1.1920928955078125e-05,1.1920928955078125e-05,-1.1920928955078125e-05,-2.384185791015625e-05,-6.556510925292969e-05,0.0,5.9604644775390625e-06
49,x0,xt,ml,0.0003039836883544922,6.556510925292969e-05,5.9604644775390625e-06,0.0,-5.9604644775390625e-06,-5.9604644775390625e-06,-5.9604644775390625e-05,-5.9604644775390625e-06,-5.9604644775390625e-06
50,x0,xt,ml,-0.0005066394805908203,-8.344650268554688e-05,-1.1920928955078125e-05,-1.7881393432617188e-05,-2.9802322387695312e-05,0.0001251697540283203,0.00011920928955078125,-7.152557373046875e-05,2.384185791015625e-05
51,x0,xt,ml,-5.9604644775390625e-06,5.9604644775390625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,x0,xt,ml,-1.1920928955078125e-05,0.0,0.0,0.0,0.0,0.0,-5.9604644775390625e-06,0.0,0.0
53,x0,xt,ml,5.9604644775390625e-06,5.9604644775390625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
