,x0,v0,t,rand,x0_xt_mean,v0_xt_mean,t_xt_mean,rand_xt_mean,x0_vt_mean,v0_vt_mean,t_vt_mean,rand_vt_mean,x0_xt_std,v0_xt_std,t_xt_std,rand_xt_std,x0_vt_std,v0_vt_std,t_vt_std,rand_vt_std
553,0.8681346049716446,0.11918955093641392,0.5353535353535354,0.7985060952078877,0.833946529152998,-7.7057575655332355,-0.22423786400432086,0.0,1.1812063080929853,-10.895643649247853,-0.23765401288481897,0.0,0.14666400313126,0.5271126826428643,0.08309883679215607,0.0,0.20407569443959347,0.7434193965359889,0.12421111405690975,0.0
11458,0.9057936800097712,0.08399161520157356,0.5858585858585859,0.5577890619588844,0.9369991158011156,-7.883508891313015,-0.20243059903131957,0.0,1.3257700174940081,-11.152521369183567,-0.18073993035144803,0.0,0.17359303320790123,0.5202838588890619,0.07106109393866812,0.0,0.24437383785884798,0.7328267605125897,0.0988675112884136,0.0
11910,0.6758973526639871,0.3696872141073049,0.10101010101010102,0.4353696640446796,1.0842443672444562,-1.1585588007498189,-0.09007135212591166,0.0,1.5269398975021504,-1.6639178532164416,-0.01320136030217584,0.0,0.265274056212986,0.49219631314497514,0.0472851263758797,0.0,0.3751140988716175,0.6865286071787402,0.06766370780936079,0.0
13625,0.3553996727748703,0.26213581654968654,0.25252525252525254,0.7614141195657923,-2.2841548767130937,-4.67636240454725,-0.19561495767854087,0.0,-3.1652585987884008,-6.542989495615555,-0.3986237201576907,0.0,0.2724791284275069,0.5611161155756266,0.06842284414621036,0.0,0.3786862668744125,0.7922416082551921,0.12097647443101534,0.0
18203,0.3988554711302454,0.7344599231496081,0.030303030303030304,0.43711089363764655,-1.1888174551112656,2.0261336893076414,0.5010252901090864,0.0,-1.8267025691792598,1.972262817597554,-0.3290986908718686,0.0,0.1999296383950878,0.4035729800485666,0.15747972102583566,0.0,0.2966984479542063,0.4793402219377636,0.3040488623975655,0.0
19631,0.3173664102236839,0.23240227252069873,0.31313131313131315,0.7614622276538189,-2.1428724724235235,-4.801526567281786,-0.1989270923984869,0.0,-3.0513176567946254,-6.747465297032071,-0.2089724255398615,0.0,0.22068542733464117,0.5225922142380407,0.06160686124251766,0.0,0.3159522393794667,0.7385833988906934,0.10745643373818749,0.0
21464,0.11123147711998965,0.33554805493471546,0.6464646464646465,0.44532041471647765,-3.731402303475035,-3.368782437029999,-0.05514738097719161,0.0,-5.330168034021933,-4.757333081955434,-0.018319736902239727,0.0,0.28900571753386084,0.41851043650070663,0.05152378157952397,0.0,0.40972773799020784,0.5930410824781792,0.09416567151128753,0.0
25978,0.7289691092082161,0.6314244776051825,0.787878787878788,0.22754592016106484,3.179590003314022,3.7280463905895074,0.08461841109308406,0.0,4.377031690149742,5.1830975414322085,0.30272663546862644,0.0,0.23470005362167334,0.45017349044685406,0.06150108852983412,0.0,0.32915595394251645,0.6348674487556135,0.10486565184810835,0.0
26089,0.06921082091271424,0.5881562344881733,0.8989898989898991,0.8832892223527151,-1.9205089865538878,1.716568539732525,-0.18456322196355981,0.0,-2.6443252126952648,2.5554512434605337,0.0708900655159989,0.0,0.24333701378328995,0.4651150196433597,0.04035558856196942,0.0,0.33565831461375933,0.659900124145624,0.06020195715965792,0.0
27367,0.8325072020296835,0.4197961128923481,0.6767676767676768,0.9145266993066942,1.1740038194559843,-1.2763598862215755,-0.12864418796199062,0.0,1.635047180055001,-1.8146817640057638,-0.21098131773521697,0.0,0.2499902113788077,0.529592435153806,0.04468843299809848,0.0,0.34979120452849927,0.7447781473742952,0.05000127455530547,0.0
28231,0.6576813984229887,0.25434778141444614,0.31313131313131315,0.5505810201768679,1.8597365724449195,-1.9321944412780616,-0.20311777747905166,0.0,2.676747262714725,-2.602760298793263,-0.06701605106765827,0.0,0.2966614754753531,0.44823094235767325,0.04477295250377433,0.0,0.4272609595459558,0.6325065973344064,0.05868274834887386,0.0
33025,0.7007639440875666,0.36861668672659825,0.25252525252525254,0.6456668694427145,1.1261622999226801,-1.2675376435655878,-0.08848563568087661,0.0,1.559830525037054,-1.822325983282484,-0.2510053012420755,0.0,0.23880342168272511,0.5766969684657118,0.04413080397128741,0.0,0.336174072373144,0.8117393137542623,0.05585410256210268,0.0
34700,0.876197077376679,0.1958346401326902,0.0,0.9110686853414579,1.3687470535825974,-3.555063028146607,3.664336740059538,0.0,0.8350049424019277,-5.548251321339674,3.4795803748948178,0.0,0.14918870667116194,0.259755922581377,0.25712605025723856,0.0,0.1648991018346854,0.4186615968002248,0.31815732549907805,0.0
