,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,-251256442984834.44,207540535801881.12,-1776097842719.7334,0.0234375,-3.4524351500962113e+28,2.8943079945957552e+28,-1.8133311193393743e+26,-4398046511104.0,0.01816017291028399,0.825321345638681,0.12121212121212122,0.41469249125533053,0.5,-0.2,0.37,0.3,1.2
1,-164148677324286.6,121337623278260.31,-2680950979646.5796,-0.03125,-2.2974337643591735e+28,1.7428011707910117e+28,-2.1627873125688255e+26,-1099511627776.0,0.02171730592418991,0.6158980629157386,0.9191919191919192,0.2819275777750814,0.5,-0.2,0.37,0.3,1.2
2,-203798108379272.28,321450850126052.9,1799624409120.6387,-0.109375,-3.492612384186641e+28,3.768916093882254e+28,7.9683502389981e+25,-8796093022208.0,0.03590897954553035,0.9630414190806453,0.4646464646464647,0.7790701038277179,0.5,-0.2,0.37,0.3,1.2
3,-175981686399975.12,133072190903405.72,-2582509529103.5273,-0.0078125,-2.294020529563742e+28,1.7377970311996564e+28,-2.003696832976407e+26,-5497558138880.0,0.04418300896072663,0.7100350429193131,0.5050505050505051,0.24774870996428078,0.5,-0.2,0.37,0.3,1.2
4,-287904973634150.25,-99195503877683.31,-6870641958348.676,-0.125,-3.6166549036124107e+28,-7.368603982669267e+27,-6.45824718906538e+26,-17592186044416.0,0.04618451165651527,0.46493993171731385,0.393939393939394,0.8799786951296017,0.5,-0.2,0.37,0.3,1.2
5,-260818395314985.34,-143425430112573.62,-7500365558785.602,0.0,-3.3574409834309047e+28,-1.3886742829607449e+28,-7.355386583168431e+26,0.0,0.046602424030424416,0.3465688972177533,0.5252525252525253,0.16778526761276924,0.5,-0.2,0.37,0.3,1.2
6,-180524295512903.9,323334397426830.3,2668385567149.121,0.0,-3.166078989118939e+28,3.7281954962766228e+28,1.5196927963047579e+26,1099511627776.0,0.05034864844704695,0.9313596807522908,0.6464646464646465,0.1687354606059716,0.5,-0.2,0.37,0.3,1.2
7,-165259568780217.0,122298026359465.92,-2530462604922.0225,0.015625,-2.3596590794507444e+28,1.8052660287098974e+28,-2.186741595300307e+26,0.0,0.07253686992906605,0.688687792405994,0.38383838383838387,0.16909405148694756,0.5,-0.2,0.37,0.3,1.2
8,-221049192176900.2,-336063522157717.8,-10649263687655.047,-0.125,-4.2122890629746e+28,-4.853409320059531e+28,-1.388100176733925e+27,-70368744177664.0,0.07811924036562917,0.03867490758960762,0.29292929292929293,0.06442563963416825,0.5,-0.2,0.37,0.3,1.2
9,-221049192176900.12,-336063522157717.75,-10649263687655.11,-0.125,-4.2122890629746e+28,-4.853409320059531e+28,-1.388100176733925e+27,-70368744177664.0,0.07811924036562917,0.03867490758960762,0.24242424242424243,0.038535967155214734,0.5,-0.2,0.37,0.3,1.2
