feature,contribution,model,contrib
x0,xt,ml,0.8838998072198604
v0,xt,ml,0.19296115539104064
t,xt,ml,0.01467746333360594
rand,xt,ml,0.013871033561056333
alpha,xt,ml,0.0
beta,xt,ml,0.0
gamma,xt,ml,0.0
delta,xt,ml,0.0
omega,xt,ml,0.0
x0,xt,true,0.042487448588867195
v0,xt,true,0.028575769842841072
t,xt,true,0.006738339636545321
rand,xt,true,0.022702565093815637
alpha,xt,true,0.0
beta,xt,true,0.0
gamma,xt,true,0.0
delta,xt,true,0.0
omega,xt,true,0.0
x0,vt,ml,0.8838998072198604
v0,vt,ml,0.19296115539104064
t,vt,ml,0.01467746333360594
rand,vt,ml,0.013871033561056333
alpha,vt,ml,0.0
beta,vt,ml,0.0
gamma,vt,ml,0.0
delta,vt,ml,0.0
omega,vt,ml,0.0
x0,vt,true,0.042487448588867195
v0,vt,true,0.028575769842841072
t,vt,true,0.006738339636545321
rand,vt,true,0.022702565093815637
alpha,vt,true,0.0
beta,vt,true,0.0
gamma,vt,true,0.0
delta,vt,true,0.0
omega,vt,true,0.0
