feature,contribution,model,contrib
x0,xt,ml,0.8702034179210081
v0,xt,ml,0.03986313563146657
t,xt,ml,0.673182949454128
rand,xt,ml,0.022755421985654292
alpha,xt,ml,0.0
beta,xt,ml,0.0
gamma,xt,ml,0.0
delta,xt,ml,0.0
omega,xt,ml,0.0
x0,xt,true,1.256945056287908
v0,xt,true,0.09254667865264869
t,xt,true,0.024752018751507315
rand,xt,true,0.02278040424110085
alpha,xt,true,0.0
beta,xt,true,0.0
gamma,xt,true,0.0
delta,xt,true,0.0
omega,xt,true,0.0
x0,vt,ml,0.8702034179210081
v0,vt,ml,0.03986313563146657
t,vt,ml,0.673182949454128
rand,vt,ml,0.022755421985654292
alpha,vt,ml,0.0
beta,vt,ml,0.0
gamma,vt,ml,0.0
delta,vt,ml,0.0
omega,vt,ml,0.0
x0,vt,true,1.256945056287908
v0,vt,true,0.09254667865264869
t,vt,true,0.024752018751507315
rand,vt,true,0.02278040424110085
alpha,vt,true,0.0
beta,vt,true,0.0
gamma,vt,true,0.0
delta,vt,true,0.0
omega,vt,true,0.0
