num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,-1.1444892265623832,-0.07914447958856977,-0.001543013786648706,0.038286776572509715,0.0,0.0,0.0,0.0,0.0
1,x0,xt,ml,1.0453189816881385,-0.07856328827106236,0.03779507237750035,0.02942454269986883,0.0,0.0,0.0,0.0,0.0
2,x0,xt,ml,0.6728310039918932,-0.06097706622811623,-0.016843608330906996,0.030555198416691458,0.0,0.0,0.0,0.0,0.0
3,x0,xt,ml,0.6729600166370263,-0.08847002004368726,0.03988226688761387,-0.00620749576022535,0.0,0.0,0.0,0.0,0.0
0,x0,vt,ml,1.1444892265623832,0.07914447958856977,0.001543013786648706,-0.038286776572509715,-0.0,-0.0,-0.0,-0.0,-0.0
1,x0,vt,ml,-1.0453189816881385,0.07856328827106236,-0.03779507237750035,-0.02942454269986883,-0.0,-0.0,-0.0,-0.0,-0.0
2,x0,vt,ml,-0.6728310039918932,0.06097706622811623,0.016843608330906996,-0.030555198416691458,-0.0,-0.0,-0.0,-0.0,-0.0
3,x0,vt,ml,-0.6729600166370263,0.08847002004368726,-0.03988226688761387,0.00620749576022535,-0.0,-0.0,-0.0,-0.0,-0.0
0,x0,xt,true,0.08002301518858518,0.09510273980815609,0.0074250176635435325,-0.000397155661081198,0.0,0.0,0.0,0.0,0.0
1,x0,xt,true,0.03026960713801642,0.045543294600844074,0.01818523902714809,-0.012871232633571743,0.0,0.0,0.0,0.0,0.0
2,x0,xt,true,0.05764969584594812,0.09632480085339538,-0.0007549110895416217,-0.007402434288616546,0.0,0.0,0.0,0.0,0.0
3,x0,xt,true,-0.0020074761829190586,0.02600750614856554,0.03430109794553024,-0.029660778195581293,0.0,0.0,0.0,0.0,0.0
0,x0,vt,true,-0.08002301518858518,-0.09510273980815609,-0.0074250176635435325,0.000397155661081198,-0.0,-0.0,-0.0,-0.0,-0.0
1,x0,vt,true,-0.03026960713801642,-0.045543294600844074,-0.01818523902714809,0.012871232633571743,-0.0,-0.0,-0.0,-0.0,-0.0
2,x0,vt,true,-0.05764969584594812,-0.09632480085339538,0.0007549110895416217,0.007402434288616546,-0.0,-0.0,-0.0,-0.0,-0.0
3,x0,vt,true,0.0020074761829190586,-0.02600750614856554,-0.03430109794553024,0.029660778195581293,-0.0,-0.0,-0.0,-0.0,-0.0
0,v0,xt,ml,-0.6033696302762482,0.28650855729482827,-0.016232446238429624,-0.012986907341948394,0.0,0.0,0.0,0.0,0.0
1,v0,xt,ml,-0.6138100575579367,-0.08213545755164904,-0.02419804952314583,-0.005036024028654733,0.0,0.0,0.0,0.0,0.0
2,v0,xt,ml,1.0376236560168148,-0.06466010340796438,-0.019300858928636238,0.04119454667033816,0.0,0.0,0.0,0.0,0.0
3,v0,xt,ml,0.6744493661005719,-0.33854050330972085,-0.025455256067881113,0.002998877011079233,0.0,0.0,0.0,0.0,0.0
0,v0,vt,ml,0.6033696302762482,-0.28650855729482827,0.016232446238429624,0.012986907341948394,-0.0,-0.0,-0.0,-0.0,-0.0
1,v0,vt,ml,0.6138100575579367,0.08213545755164904,0.02419804952314583,0.005036024028654733,-0.0,-0.0,-0.0,-0.0,-0.0
2,v0,vt,ml,-1.0376236560168148,0.06466010340796438,0.019300858928636238,-0.04119454667033816,-0.0,-0.0,-0.0,-0.0,-0.0
3,v0,vt,ml,-0.6744493661005719,0.33854050330972085,0.025455256067881113,-0.002998877011079233,-0.0,-0.0,-0.0,-0.0,-0.0
0,v0,xt,true,-0.09373269259830858,-0.03386066978641329,-0.0053725895161687975,-0.016004264494111634,0.0,0.0,0.0,0.0,0.0
1,v0,xt,true,-0.0549028618987867,0.03155796125774514,-0.013250225562337768,-0.0014342860235141812,0.0,0.0,0.0,0.0,0.0
2,v0,xt,true,0.010371995069552133,-0.004200491955448293,-0.05494165702549468,-0.010856216949640072,0.0,0.0,0.0,0.0,0.0
3,v0,xt,true,0.023809052369162337,-0.044683956371757566,0.05036793471945817,-0.012820745477268093,0.0,0.0,0.0,0.0,0.0
0,v0,vt,true,0.09373269259830858,0.03386066978641329,0.0053725895161687975,0.016004264494111634,-0.0,-0.0,-0.0,-0.0,-0.0
1,v0,vt,true,0.0549028618987867,-0.03155796125774514,0.013250225562337768,0.0014342860235141812,-0.0,-0.0,-0.0,-0.0,-0.0
2,v0,vt,true,-0.010371995069552133,0.004200491955448293,0.05494165702549468,0.010856216949640072,-0.0,-0.0,-0.0,-0.0,-0.0
3,v0,vt,true,-0.023809052369162337,0.044683956371757566,-0.05036793471945817,0.012820745477268093,-0.0,-0.0,-0.0,-0.0,-0.0
0,t,xt,ml,0.696335322122738,0.31945500458677334,0.004366850181700622,0.00585347617824491,0.0,0.0,0.0,0.0,0.0
1,t,xt,ml,1.046210365897769,-0.07886604104334059,-0.0064149081382939835,0.012866387924296077,0.0,0.0,0.0,0.0,0.0
2,t,xt,ml,-0.6092653555052501,0.27888053151527803,-0.0033457665018895573,0.026532015078111433,0.0,0.0,0.0,0.0,0.0
3,t,xt,ml,1.0507205171735623,-0.0488024530054162,0.04458232851253959,0.001820816298508488,0.0,0.0,0.0,0.0,0.0
0,t,vt,ml,-0.696335322122738,-0.31945500458677334,-0.004366850181700622,-0.00585347617824491,-0.0,-0.0,-0.0,-0.0,-0.0
1,t,vt,ml,-1.046210365897769,0.07886604104334059,0.0064149081382939835,-0.012866387924296077,-0.0,-0.0,-0.0,-0.0,-0.0
2,t,vt,ml,0.6092653555052501,-0.27888053151527803,0.0033457665018895573,-0.026532015078111433,-0.0,-0.0,-0.0,-0.0,-0.0
3,t,vt,ml,-1.0507205171735623,0.0488024530054162,-0.04458232851253959,-0.001820816298508488,-0.0,-0.0,-0.0,-0.0,-0.0
0,t,xt,true,-0.005508139563491661,-0.017328670381477056,0.012744291559535671,-0.012352190932487477,0.0,0.0,0.0,0.0,0.0
1,t,xt,true,0.008896855416786965,0.05992151842433638,0.0013172962926774562,-0.010396501049443662,0.0,0.0,0.0,0.0,0.0
2,t,xt,true,-0.09208042091916357,0.0067200106877843635,-0.0004555025354354052,0.0018717993701985272,0.0,0.0,0.0,0.0,0.0
3,t,xt,true,0.023804680656235894,-0.008467530733325856,-0.012436268158532751,0.0023156693736801847,0.0,0.0,0.0,0.0,0.0
0,t,vt,true,0.005508139563491661,0.017328670381477056,-0.012744291559535671,0.012352190932487477,-0.0,-0.0,-0.0,-0.0,-0.0
1,t,vt,true,-0.008896855416786965,-0.05992151842433638,-0.0013172962926774562,0.010396501049443662,-0.0,-0.0,-0.0,-0.0,-0.0
2,t,vt,true,0.09208042091916357,-0.0067200106877843635,0.0004555025354354052,-0.0018717993701985272,-0.0,-0.0,-0.0,-0.0,-0.0
3,t,vt,true,-0.023804680656235894,0.008467530733325856,0.012436268158532751,-0.0023156693736801847,-0.0,-0.0,-0.0,-0.0,-0.0
0,rand,xt,ml,1.0462538489335333,-0.29619644102506876,0.011463246904085416,0.0016021084458789753,0.0,0.0,0.0,0.0,0.0
