num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,1.1179677093614266,0.020951752007933814,0.6954622241880095,-0.026528813763574757,0.0,0.0,0.0,0.0,0.0
1,x0,xt,ml,1.1071398125599534,0.02721345065872519,0.7253606272650499,-0.02482673591174729,0.0,0.0,0.0,0.0,0.0
2,x0,xt,ml,1.1612449887054597,0.005989288162339643,0.7142848247569992,-0.010524998112579464,0.0,0.0,0.0,0.0,0.0
3,x0,xt,ml,1.128618287115836,-0.016361395704987586,0.7222499736275854,-0.017160984537147463,0.0,0.0,0.0,0.0,0.0
4,x0,xt,ml,1.1325942567328213,0.007605996517824172,0.6918911995734882,0.04058271829590283,0.0,0.0,0.0,0.0,0.0
5,x0,xt,ml,-0.882165609290144,0.029812712866577714,0.7061862498683175,0.007132106705422094,0.0,0.0,0.0,0.0,0.0
6,x0,xt,ml,-0.8548253302148849,-0.019969715095748262,0.6741790083314252,-0.02034656699395795,0.0,0.0,0.0,0.0,0.0
7,x0,xt,ml,-0.8913642237572987,0.013283774130857495,0.7233735517214377,0.006656391051499699,0.0,0.0,0.0,0.0,0.0
8,x0,xt,ml,1.075167324835564,0.03832563333269331,0.7673164441082527,0.05636561695658506,0.0,0.0,0.0,0.0,0.0
9,x0,xt,ml,1.1538596893550142,-0.0022030044248256145,0.7127459395270997,-0.010402840234300865,0.0,0.0,0.0,0.0,0.0
10,x0,xt,ml,1.0977452504153602,0.022241687917784025,0.7392219474161924,-0.03605352150800906,0.0,0.0,0.0,0.0,0.0
11,x0,xt,ml,1.1742669170794273,0.013803486189783477,0.6554854972234075,0.019656298858446063,0.0,0.0,0.0,0.0,0.0
12,x0,xt,ml,-0.8691293453887837,0.0032989782078381726,0.7174832519592323,0.05337727974087242,0.0,0.0,0.0,0.0,0.0
13,x0,xt,ml,-0.8866048730033318,0.05104461757486635,0.6936480446453345,0.010376138379659785,0.0,0.0,0.0,0.0,0.0
14,x0,xt,ml,-0.8892306757010209,0.018841101753319215,0.6746381388730226,0.005436036160214283,0.0,0.0,0.0,0.0,0.0
15,x0,xt,ml,-0.8807258660632213,0.07360142046145392,0.6865533284918438,-0.01509188803745789,0.0,0.0,0.0,0.0,0.0
16,x0,xt,ml,-0.8777421655756944,0.0717902978366139,0.7656665536941651,0.031166799010103212,0.0,0.0,0.0,0.0,0.0
17,x0,xt,ml,-0.895956913414077,0.030300563906917908,0.7207443713957099,-0.00030341543862632316,0.0,0.0,0.0,0.0,0.0
18,x0,xt,ml,-0.8884594144613503,0.054211063367972455,0.7118499054691089,-0.028460855292628658,0.0,0.0,0.0,0.0,0.0
19,x0,xt,ml,-0.8738609452400624,0.03333150574593862,0.6688818731573478,-0.03198008190837547,0.0,0.0,0.0,0.0,0.0
20,x0,xt,ml,-0.8788071497916541,0.04404294530802961,0.7135720707337107,-0.011419206987152505,0.0,0.0,0.0,0.0,0.0
