num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,-1.2198949552307086,-0.0712000826352193,0.3157579253322262,0.00379968626320866,0.0,0.0,0.0,0.0,0.0
1,x0,xt,ml,0.8434257780108488,-0.042173021041396,0.32277296105523257,0.052931259215162355,0.0,0.0,0.0,0.0,0.0
2,x0,xt,ml,-1.2336187018490719,-0.003342071071376493,0.3426185974904511,-0.023294273103718035,0.0,0.0,0.0,0.0,0.0
3,x0,xt,ml,-1.2050156884016716,-0.05189629357657246,0.2692077511264262,0.0024331530479577666,0.0,0.0,0.0,0.0,0.0
4,x0,xt,ml,1.2732122056592527,0.03774553330311757,0.27737863214225933,-0.0028010484331195554,0.0,0.0,0.0,0.0,0.0
5,x0,xt,ml,1.2389669250890123,-0.005191582576551373,0.2560906722949073,-0.011334770511137706,0.0,0.0,0.0,0.0,0.0
6,x0,xt,ml,-1.2246374625505827,-0.0657470168787513,0.3111931442626211,0.0409302039236476,0.0,0.0,0.0,0.0,0.0
7,x0,xt,ml,-1.1450570900601968,-0.01619942803709557,0.28591399107506354,0.014003671599367662,0.0,0.0,0.0,0.0,0.0
8,x0,xt,ml,1.275905342059209,-0.018639260599518426,0.2438251836888094,0.02017520833844335,0.0,0.0,0.0,0.0,0.0
9,x0,xt,ml,1.3011743019270021,0.018339905509652994,0.2738928663932227,-0.004294753136735797,0.0,0.0,0.0,0.0,0.0
10,x0,xt,ml,1.2805784837633747,-0.06807014148100227,0.290601144417118,-0.01986937649222919,0.0,0.0,0.0,0.0,0.0
11,x0,xt,ml,1.2979596586188196,0.03214537368690307,0.24750758755088095,0.03837281046029834,0.0,0.0,0.0,0.0,0.0
12,x0,xt,ml,1.3059624534124867,-0.0010449639502163228,0.33378810065902603,0.010278714756637096,0.0,0.0,0.0,0.0,0.0
13,x0,xt,ml,1.319306478057272,-0.011481025730934164,0.26537092073543483,0.038626436279718006,0.0,0.0,0.0,0.0,0.0
14,x0,xt,ml,1.2913948675863671,0.025639519001015038,0.24461831771224107,0.015405321480952701,0.0,0.0,0.0,0.0,0.0
15,x0,xt,ml,1.288370171369086,-0.016069256519258935,0.21887629260755986,-0.00786851034811742,0.0,0.0,0.0,0.0,0.0
16,x0,xt,ml,1.2747020883253168,-0.024436470830158694,0.2855066281774876,0.0030590831132729385,0.0,0.0,0.0,0.0,0.0
17,x0,xt,ml,-1.1848633572107963,-0.029714157116592668,0.26127423814305684,-0.013696880016739804,0.0,0.0,0.0,0.0,0.0
18,x0,xt,ml,-1.196205406469126,-0.04907344191985972,0.2816692684178732,0.0046358143457318115,0.0,0.0,0.0,0.0,0.0
19,x0,xt,ml,0.8432955517105242,-0.016871475658627393,0.3109240318736661,0.04888880699396962,0.0,0.0,0.0,0.0,0.0
20,x0,xt,ml,0.7999783164585644,-0.059149291949253134,0.2704266709103159,0.018788843158263475,0.0,0.0,0.0,0.0,0.0
21,x0,xt,ml,0.8568654010952101,-0.04961091135394528,0.27602324487263485,-0.0474852440045083,0.0,0.0,0.0,0.0,0.0
22,x0,xt,ml,-1.1643374435186724,0.016876013156716614,0.2475852689673704,-0.019412579076566048,0.0,0.0,0.0,0.0,0.0
23,x0,xt,ml,-1.185766153021899,-0.02914910000666297,0.28602305458475985,0.0327495565363306,0.0,0.0,0.0,0.0,0.0
