,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,197754821556376.34,-290686915238368.2,-9443027830692.29,-4060044107380.333,-2.3414564944873663e+28,3.0274644784167414e+28,5.707772096149757e+26,-1.7365166437347573e+26,0.01816017291028399,0.825321345638681,0.12121212121212122,0.41469249125533053,0.5,-0.2,0.37,0.3,1.2
1,176502756599490.3,-80725048341496.12,15901244328083.754,-8846133865985.217,-2.4049512044652633e+28,6.735297159831198e+27,6.222669272788693e+26,5.4696857602593585e+26,0.02171730592418991,0.6158980629157386,0.9191919191919192,0.2819275777750814,0.5,-0.2,0.37,0.3,1.2
2,196000229487911.88,-284128596676696.8,-3598772593447.0527,-4998317196642.878,-2.48940944533745e+28,3.1677064512240054e+28,3.167002897694904e+26,-7.72340327772384e+26,0.03590897954553035,0.9630414190806453,0.4646464646464647,0.7790701038277179,0.5,-0.2,0.37,0.3,1.2
3,192524230660467.2,-292874301011682.56,-2285095660113.569,-2181484006082.1553,-2.4914479255163202e+28,3.124645231691231e+28,-1.9594029204050064e+26,8.93213608917726e+25,0.04418300896072663,0.7100350429193131,0.5050505050505051,0.24774870996428078,0.5,-0.2,0.37,0.3,1.2
4,193552761502107.66,96501285399776.08,-580502269144.1571,-3303226493638.0703,-2.331339124853299e+28,-1.0159921331402882e+28,-6.625819537284204e+26,7.537314481563565e+26,0.04618451165651527,0.46493993171731385,0.393939393939394,0.8799786951296017,0.5,-0.2,0.37,0.3,1.2
5,200860417633326.22,84643673540812.03,-2542558184661.0337,1517570619570.3008,-2.3444348180549676e+28,-1.0980759281230905e+28,6.340051847075125e+26,7.531051957155166e+26,0.046602424030424416,0.3465688972177533,0.5252525252525253,0.16778526761276924,0.5,-0.2,0.37,0.3,1.2
6,202585796687374.75,-297238535429023.1,-5219577644652.669,-124349715072.68848,-2.360404437426931e+28,2.9823464323397242e+28,-8.390659294015326e+26,2.070769843372879e+26,0.05034864844704695,0.9313596807522908,0.6464646464646465,0.1687354606059716,0.5,-0.2,0.37,0.3,1.2
7,199304773720670.97,-288355141357591.6,-4820747775692.099,-3205351003998.3057,-2.4798226212016875e+28,3.1971364865486662e+28,-9.024239712237546e+26,-3.201508294536037e+26,0.07253686992906605,0.688687792405994,0.38383838383838387,0.16909405148694756,0.5,-0.2,0.37,0.3,1.2
8,189208732880492.25,283444323937357.6,-3784209329583.3203,-5467821461796.279,-2.613083705529952e+28,-2.865900563708035e+28,-8.547413379416383e+26,2.2596797637765285e+26,0.07811924036562917,0.03867490758960762,0.29292929292929293,0.06442563963416825,0.5,-0.2,0.37,0.3,1.2
9,194626577267975.94,281679202721089.25,3461124073397.6445,-132029653980.77899,-2.401672412396254e+28,-2.693802458532443e+28,9.580867786184244e+26,-1.67909486683381e+26,0.07811924036562917,0.03867490758960762,0.24242424242424243,0.038535967155214734,0.5,-0.2,0.37,0.3,1.2
