,xt_x0,explainer,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,-70783847477896.25,lime,-17358734528339.043,1358155449044.8804,-10296449834668.287,-7.140973175564553e+27,-1.2180492749515138e+27,-9.944280789632912e+26,-1.1054650588497235e+26,0.0,0.40704278687560114,0.33333333333333337,0.6914353818612851,0.7,-0.1,0.37,0.3,1.2
1,-88208749263444.03,lime,118221595060454.2,9547009234437.545,-15827177845726.102,-6.42551191594914e+27,8.961823222202375e+27,-1.6131597329596424e+27,4.633883318931684e+26,0.02216301661751341,0.9668408660848014,0.8383838383838385,0.7455691588860882,0.7,-0.1,0.37,0.3,1.2
2,-80180829102951.61,lime,-11797335392444.72,-5129830770329.579,18772198801042.902,-6.732201561475235e+27,-2.1553325947820773e+27,5.9338492164373696e+26,-6.024516246319829e+25,0.032778935168955026,0.49323833583263427,0.6666666666666667,0.04381762895096469,0.7,-0.1,0.37,0.3,1.2
3,-74115690271836.02,lime,94684237348522.16,-654003890979.1403,-12274815370607.365,-8.236410810586565e+27,1.3288848623581988e+28,-6.841366068399022e+26,-3.6842602531590924e+26,0.04241153473044762,0.9550488567420237,0.4040404040404041,0.38827369830627695,0.7,-0.1,0.37,0.3,1.2
4,-66554802622352.38,lime,-21993883395483.12,2771725166561.8135,-10196496082034.523,-6.21828601456348e+27,-1.4332504225338895e+27,-9.256591696341162e+25,-1.1972901930890271e+27,0.07289240799841318,0.25001886452297417,0.797979797979798,0.5857088583715211,0.7,-0.1,0.37,0.3,1.2
5,-64940203689779.66,lime,86532196150102.94,-7235397854215.98,6848462247127.041,-5.861150762343383e+27,1.0312106810360393e+28,-1.1392917105850765e+26,-3.0466641574088155e+26,0.08486501305003469,0.9486068163326032,0.23232323232323235,0.12979753826830298,0.7,-0.1,0.37,0.3,1.2
6,-58411150502256.55,lime,-23972206531138.426,-5349460739188.791,7316406994755.304,-6.279688777886109e+27,-2.6219610045894636e+27,2.0878463252351848e+27,1.882282200121252e+27,0.08854491450405244,0.2446451407183608,0.9090909090909092,0.8313138558321438,0.7,-0.1,0.37,0.3,1.2
7,-78665224157660.36,lime,-14588903140257.018,-12815987301359.191,-7988879543328.902,-5.663991639511209e+27,-1.2441205193885793e+27,3.96816362981535e+26,-1.3024027869541308e+27,0.08854491450405244,0.2446451407183608,0.030303030303030304,0.16599555056101162,0.7,-0.1,0.37,0.3,1.2
8,-83479562116161.62,lime,9301386774174.502,-10474449674844.229,-12926744904627.648,-5.58967410065141e+27,-1.1693988565057974e+27,1.0871827258689636e+27,-2.478111082491348e+25,0.09207120967811955,0.730150443946345,0.5757575757575758,0.1724432023728384,0.7,-0.1,0.37,0.3,1.2
9,-84749530687663.89,lime,-90581863908143.12,-3371070837017.7007,-18992646482984.113,-6.050937464042598e+27,-5.995840530429136e+27,-1.133545637003166e+27,5.093377526324851e+26,0.10714144852586788,0.08895035281278107,0.26262626262626265,0.07983282779634904,0.7,-0.1,0.37,0.3,1.2
10,-70864305340705.52,lime,-10778550114304.588,13923732489976.578,-4977734384732.862,-6.321859618204323e+27,-9.530407065503702e+26,-1.7415223686086594e+27,7.428476226588806e+26,0.11552252212046221,0.4019151651942312,0.030303030303030304,0.6014385972139086,0.7,-0.1,0.37,0.3,1.2
