,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,-231167661497376.22,200182779856315.38,1730190345793.8452,0.0,-2.8784126961713647e+28,2.4567865332558795e+28,1.0417634967465206e+26,0.0,0.01816017291028399,0.825321345638681,0.12121212121212122,0.41469249125533053,0.5,-0.2,0.37,0.3,1.2
1,-153566147914321.7,124245885634569.86,65572542698.74692,0.0,-2.137409845136584e+28,1.739190791912791e+28,-1.2989436621780398e+26,0.0,0.02171730592418991,0.6158980629157386,0.9191919191919192,0.2819275777750814,0.5,-0.2,0.37,0.3,1.2
2,-195069067101522.75,329231483916697.1,1527262696125.6187,0.0,-3.262799846889345e+28,3.7041559392134043e+28,7.96789376507834e+25,0.0,0.03590897954553035,0.9630414190806453,0.4646464646464647,0.7790701038277179,0.5,-0.2,0.37,0.3,1.2
3,-154292538050000.16,127518183794580.34,-2480340059090.1265,0.0,-2.0320629995484017e+28,1.6449866440429068e+28,-2.4132207918449242e+26,0.0,0.04418300896072663,0.7100350429193131,0.5050505050505051,0.24774870996428078,0.5,-0.2,0.37,0.3,1.2
4,-277302253369549.7,-96929460412034.5,-3502093862642.6646,0.0,-3.3639523032947165e+28,-8.442169964527986e+27,-4.487649194428406e+26,0.0,0.04618451165651527,0.46493993171731385,0.393939393939394,0.8799786951296017,0.5,-0.2,0.37,0.3,1.2
5,-261444760631765.1,-131269021761810.33,-2793095939954.9204,0.0,-3.3434452325190855e+28,-1.289418621012111e+28,-2.175333433594837e+26,0.0,0.046602424030424416,0.3465688972177533,0.5252525252525253,0.16778526761276924,0.5,-0.2,0.37,0.3,1.2
6,-166780947312150.34,318091709388199.5,10405041858066.69,0.0,-2.7835902933937583e+28,3.4335933371602546e+28,9.236233536357192e+26,0.0,0.05034864844704695,0.9313596807522908,0.6464646464646465,0.1687354606059716,0.5,-0.2,0.37,0.3,1.2
7,-136244453335059.42,106989763467871.12,0.11475172345956096,0.0,-1.696778927029397e+28,1.2855704532601358e+28,0.22061190524825425,0.0,0.07253686992906605,0.688687792405994,0.38383838383838387,0.16909405148694756,0.5,-0.2,0.37,0.3,1.2
8,-211302492483004.16,-336229087726825.9,-3993085142520.751,0.0,-4.003909679831172e+28,-4.998224261503331e+28,-3.732255367955338e+26,0.0,0.07811924036562917,0.03867490758960762,0.29292929292929293,0.06442563963416825,0.5,-0.2,0.37,0.3,1.2
9,-211901280307715.4,-339623374559683.5,0.07106707590469165,0.0,-4.1540784411375216e+28,-4.885377936363876e+28,-0.09553721677346882,0.0,0.07811924036562917,0.03867490758960762,0.24242424242424243,0.038535967155214734,0.5,-0.2,0.37,0.3,1.2
10,-127198383474092.62,99485494641120.31,-1541793988629.633,0.0,-1.6069043474837933e+28,1.2038172016109727e+28,-8.121306203042496e+25,0.0,0.0817762457582592,0.625749352889074,0.3434343434343435,0.7810134644788396,0.5,-0.2,0.37,0.3,1.2
11,-135611441980070.81,-38269541812682.25,0.12054489657988794,0.0,-1.2325782834245358e+28,1.596873915071109e+27,-0.0056847595555390585,0.0,0.11149294355274758,0.4120853580105115,0.393939393939394,0.7714968579738112,0.5,-0.2,0.37,0.3,1.2
12,-185193061584932.62,-148932390825539.34,-6168460921544.409,0.0,-2.07346461076633e+28,-1.3321402415671385e+28,-6.606679780734854e+26,0.0,0.12443319691544169,0.2707041730698815,0.9696969696969697,0.4496376637212936,0.5,-0.2,0.37,0.3,1.2
13,-82376066997571.03,54004875818429.72,-883498710902.2489,0.0,-9.228451638372207e+27,5.151747121456987e+27,-3.5380397307893067e+25,0.0,0.13780868289626852,0.5239853338954283,0.888888888888889,0.11210489904286686,0.5,-0.2,0.37,0.3,1.2
14,-103739253910545.06,73878752133085.0,605813409209.072,0.0,-1.1409081863097085e+28,7.349071042370099e+27,-5.207404264710787e+25,0.0,0.14937067392871406,0.6454087288711093,0.5151515151515152,0.20923924314910008,0.5,-0.2,0.37,0.3,1.2
15,-92528374512650.44,63273688280813.28,0.2153874303864853,0.0,-1.0233803376840999e+28,6.121718961357905e+27,-0.23651629563095894,0.0,0.15009043772554376,0.5693389673388368,0.08080808080808081,0.9414689469683709,0.5,-0.2,0.37,0.3,1.2
16,-186253633841384.56,-157822614766886.88,-1393230654217.399,0.0,-2.0242474749724097e+28,-1.540128659963589e+28,-1.0122087702195713e+26,0.0,0.15464333856072082,0.3296704282575962,0.787878787878788,0.9130974673907204,0.5,-0.2,0.37,0.3,1.2
17,-88324682404016.77,62131726523369.0,-3061732238747.56,0.0,-9.883916441855109e+27,6.190812674166993e+27,-4.189809344982549e+26,0.0,0.1602852481233601,0.5798444210868594,0.7272727272727273,0.5147715636004762,0.5,-0.2,0.37,0.3,1.2
18,-207836876332056.16,-193091619218107.5,-2356789227199.702,0.0,-2.5713488173893713e+28,-2.2376089110763165e+28,-2.7343172748402933e+26,0.0,0.1675126600495349,0.28635108674893717,0.5151515151515152,0.4440652630148598,0.5,-0.2,0.37,0.3,1.2
19,-194792728702793.44,-180957395875927.97,-3151122890007.784,0.0,-2.2713091259335945e+28,-1.9713804181797435e+28,-3.62267790311494e+26,0.0,0.17871275458126112,0.2885176195541104,0.5252525252525253,0.7781103533147192,0.5,-0.2,0.37,0.3,1.2
20,-74596974925769.66,41398938692936.55,3943351746808.283,0.0,-8.775488023911491e+27,4.26297388106947e+27,4.004295674643598e+26,0.0,0.19845724611841797,0.5502963144519223,0.7575757575757577,0.4675743288105284,0.5,-0.2,0.37,0.3,1.2
21,-98119451342383.38,-296667333340456.9,-759817418224.7787,0.0,-1.2711369725252774e+28,-3.374121374369225e+28,-1.0280620744226862e+26,0.0,0.21978829538484596,0.06122580202274819,0.5858585858585859,0.39433349116905797,0.5,-0.2,0.37,0.3,1.2
22,-71695074746977.48,42440383220639.04,-0.07726781478314987,0.0,-7.996028315376744e+27,3.8839434969602653e+27,0.2857754937065317,0.0,0.22805827780903798,0.5585267965204846,0.9595959595959597,0.7393563767951953,0.5,-0.2,0.37,0.3,1.2
23,-78249178809332.6,-239000933002779.25,-2634879655024.4746,0.0,-8.287201542302056e+27,-2.2357018915931088e+28,-1.8856571279084332e+26,0.0,0.2367876402823647,0.16317622135012544,0.494949494949495,0.10933808886418794,0.5,-0.2,0.37,0.3,1.2
24,-119757606890395.48,221747085581726.5,4938773587208.858,0.0,-1.9190753416696567e+28,2.071414458085401e+28,2.3069596965680384e+26,0.0,0.23830025370832136,0.8918023442676006,0.6666666666666667,0.10862958511637749,0.5,-0.2,0.37,0.3,1.2
25,-83670125846918.89,227100234010957.97,6411083960412.034,0.0,-1.4164296715839396e+28,1.97848013374076e+28,4.136166185484543e+26,0.0,0.2395546576593442,0.8700872514498313,0.5454545454545455,0.797534854681939,0.5,-0.2,0.37,0.3,1.2
26,-84195016432846.95,54940329262598.664,-0.08142747319259705,0.0,-9.190685699916969e+27,5.078601288292528e+27,0.23197312707194517,0.0,0.26638343590243696,0.66972486428962,0.5353535353535354,0.5443615841433365,0.5,-0.2,0.37,0.3,1.2
27,-111721520390818.22,82418759969468.39,48073530776.52984,0.0,-1.2799466678670029e+28,8.678467876031477e+27,8.914278236783569e+24,0.0,0.27136337771491337,0.755016139552997,0.4545454545454546,0.506967370939526,0.5,-0.2,0.37,0.3,1.2
28,-106537207140988.12,208689758047832.56,1711821426067.1501,0.0,-1.6646701943489527e+28,1.8060569709975572e+28,7.910621097344318e+25,0.0,0.2737528107447568,0.8741728998203406,0.797979797979798,0.6932176222295438,0.5,-0.2,0.37,0.3,1.2
29,-37706073509510.87,6999865863121.227,1451520240280.7087,0.0,-4.397542873868991e+27,2.121501673182855e+26,7.330825599831937e+25,0.0,0.3151068462467508,0.48638998161057656,0.33333333333333337,0.5533203978611451,0.5,-0.2,0.37,0.3,1.2
30,-39749895389502.94,-243426648084124.12,-6313451973528.065,0.0,-2.88141005168445e+27,-2.2090916870378796e+28,-5.618530561797455e+26,0.0,0.315232057917591,0.10660401066045916,0.8585858585858587,0.6996853650159583,0.5,-0.2,0.37,0.3,1.2
31,-84650483661741.33,52503423482222.67,2892381623326.3887,0.0,-9.573631718374766e+27,5.22095659653743e+27,2.4059128720387823e+26,0.0,0.3314427392882169,0.7181772733759362,0.6464646464646465,0.1457235680366858,0.5,-0.2,0.37,0.3,1.2
32,303307908540.84766,-25933997135550.26,-3624004043929.5034,0.0,-7.746773172811967e+26,-2.964214980861842e+27,-3.731927743612168e+26,0.0,0.35166664236291834,0.36677021953894456,0.5555555555555556,0.6122958568976175,0.5,-0.2,0.37,0.3,1.2
33,-54092915940692.19,209743173249222.3,7622684720707.139,0.0,-1.1075440876250474e+28,1.8031179975424409e+28,6.592423997819309e+26,0.0,0.35860171318891865,0.8407863931737927,0.6363636363636365,0.6700713667444087,0.5,-0.2,0.37,0.3,1.2
