feature,contribution,model,contrib
x0,xt,ml,0.9503013052695737
v0,xt,ml,0.13768207792801157
t,xt,ml,0.013583262873316786
rand,xt,ml,3.141695645952958e-05
alpha,xt,ml,0.0
beta,xt,ml,0.0
gamma,xt,ml,0.0
delta,xt,ml,0.0
omega,xt,ml,0.0
x0,xt,true,0.21556963603296014
v0,xt,true,0.24055941399130817
t,xt,true,0.30894361632376094
rand,xt,true,0.0
alpha,xt,true,0.0
beta,xt,true,0.0
gamma,xt,true,0.0
delta,xt,true,0.0
omega,xt,true,0.0
x0,vt,ml,0.004229812518328739
v0,vt,ml,0.004579177635201876
t,vt,ml,0.006711432791838887
rand,vt,ml,1.3109133881516909e-05
alpha,vt,ml,0.0
beta,vt,ml,0.0
gamma,vt,ml,0.0
delta,vt,ml,0.0
omega,vt,ml,0.0
x0,vt,true,0.10040163832842965
v0,vt,true,0.0941053076540748
t,vt,true,0.2536319295659131
rand,vt,true,0.0
alpha,vt,true,0.0
beta,vt,true,0.0
gamma,vt,true,0.0
delta,vt,true,0.0
omega,vt,true,0.0
