num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
0,x0,xt,ml,-0.9635597792267789,-0.06042069464921991,0.003781106968720638,5.38239876379798e-06,0.0,0.0,0.0,0.0,0.0
1,x0,xt,ml,-0.9635607040921834,-0.060422597030798886,0.003790898422399838,-1.581807931749779e-06,0.0,0.0,0.0,0.0,0.0
2,x0,xt,ml,-0.9635596454143512,-0.06041805247465807,0.00377216577529893,1.1547605196060573e-05,0.0,0.0,0.0,0.0,0.0
3,x0,xt,ml,1.037951848010222,-0.06124952127536159,0.003717894256115045,-2.7810533838046325e-06,0.0,0.0,0.0,0.0,0.0
4,x0,xt,ml,1.0379517445961635,-0.061249734361966277,0.0037177300453185014,-3.373225530123314e-06,0.0,0.0,0.0,0.0,0.0
5,x0,xt,ml,-0.9631989219784726,-0.060488134125868745,0.0034989562630650672,-5.884667238165164e-06,0.0,0.0,0.0,0.0,0.0
6,x0,xt,ml,1.042008994023005,-0.06067716161409997,-0.0009497549136480293,-1.7328063646959713e-05,0.0,0.0,0.0,0.0,0.0
7,x0,xt,ml,1.0420126935839649,-0.06067491163810068,-0.0009690448641775651,1.9728144010633386e-06,0.0,0.0,0.0,0.0,0.0
8,x0,xt,ml,-0.9631940883398047,-0.06070930222670255,0.003707545002301388,1.861055691332325e-06,0.0,0.0,0.0,0.0,0.0
9,x0,xt,ml,-0.9631941495339063,-0.060709214210510655,0.0037071925401683803,2.1866957340410664e-06,0.0,0.0,0.0,0.0,0.0
10,x0,xt,ml,1.0442195319135985,-0.0604961420098942,-0.003325683772563995,-2.6042560736239118e-05,0.0,0.0,0.0,0.0,0.0
11,x0,xt,ml,1.0446457567811007,-0.06038816382487611,-0.003831957678000139,-3.1885504717665825e-06,0.0,0.0,0.0,0.0,0.0
12,x0,xt,ml,1.0431045545140902,-0.0607345764835677,-0.0020035663247107705,1.7947951953534158e-06,0.0,0.0,0.0,0.0,0.0
13,x0,xt,ml,1.0431141195694602,-0.060742921233177136,-0.0020019638538362333,-6.273190179983956e-06,0.0,0.0,0.0,0.0,0.0
14,x0,xt,ml,1.0431078336636226,-0.0607379853725434,-0.0020028905073800896,-4.2021274571091283e-07,0.0,0.0,0.0,0.0,0.0
15,x0,xt,ml,1.0431113434831298,-0.060740945438543956,-0.002002307275930912,-3.579755624039116e-06,0.0,0.0,0.0,0.0,0.0
16,x0,xt,ml,1.043104172150294,-0.06073424597581234,-0.0020041773716609618,2.3384888967470374e-06,0.0,0.0,0.0,0.0,0.0
17,x0,xt,ml,1.0446783969799676,-0.06042700290679935,-0.0038322482506434885,-6.831884383773357e-06,0.0,0.0,0.0,0.0,0.0
18,x0,xt,ml,1.0446792182326317,-0.06042752752701444,-0.0038358238339422784,-6.413956483264371e-06,0.0,0.0,0.0,0.0,0.0
19,x0,xt,ml,1.0446256970365841,-0.06041782011588427,-0.003783715665340359,-9.992718694729064e-07,0.0,0.0,0.0,0.0,0.0
20,x0,xt,ml,1.0446238546570141,-0.06041673213243478,-0.003783904016017914,-7.717808087059908e-07,0.0,0.0,0.0,0.0,0.0
21,x0,xt,ml,1.044635751148065,-0.06042266776164384,-0.003790218333403289,-1.968046029365844e-06,0.0,0.0,0.0,0.0,0.0
22,x0,xt,ml,1.0446176506082216,-0.06034146736065545,-0.003848452866077462,-9.921193121487093e-07,0.0,0.0,0.0,0.0,0.0
23,x0,xt,ml,1.0446079207460086,-0.060336659650008055,-0.0038409834106763185,3.6855538732005755e-08,0.0,0.0,0.0,0.0,0.0
24,x0,xt,ml,1.0446123303969699,-0.060339197913805515,-0.0038454320033391443,-9.62217648670105e-07,0.0,0.0,0.0,0.0,0.0
25,x0,xt,ml,1.044596129655838,-0.060331103801727265,-0.0038294408718747702,-1.5749533968101304e-06,0.0,0.0,0.0,0.0,0.0
26,x0,xt,ml,-0.9607520246505725,-0.06067625125249264,0.0012404626607891156,-6.171266238474971e-06,0.0,0.0,0.0,0.0,0.0
27,x0,xt,ml,1.0345431172351043,-0.06079085807005571,0.006716831624507619,-1.2907832860675761e-05,0.0,0.0,0.0,0.0,0.0
28,x0,xt,ml,1.0344943968454996,-0.06076318840185803,0.006718180974324459,-3.100832303148948e-06,0.0,0.0,0.0,0.0,0.0
29,x0,xt,ml,-0.9635957485437384,-0.06034488042195664,0.003749420046806118,-2.7755896254699763e-06,0.0,0.0,0.0,0.0,0.0
30,x0,xt,ml,-0.9629915424187968,-0.060656045277913774,0.0034505983193713896,3.004868824874052e-06,0.0,0.0,0.0,0.0,0.0
31,x0,xt,ml,-0.9629898004730532,-0.06065644949674635,0.003459748923778261,-7.483462493018678e-06,0.0,0.0,0.0,0.0,0.0
32,x0,xt,ml,1.0344135784606137,-0.06123095487554859,0.007281519174575687,1.433233420089497e-05,0.0,0.0,0.0,0.0,0.0
33,x0,xt,ml,1.0344071591397124,-0.06123314832647629,0.007300057013829381,-1.4785428841590509e-05,0.0,0.0,0.0,0.0,0.0
34,x0,xt,ml,-0.7223836094140998,-0.2886851751307644,-0.009126936395963403,1.7364323132706971e-06,0.0,0.0,0.0,0.0,0.0
35,x0,xt,ml,-0.7223734043786915,-0.2886909195035694,-0.009135224396984248,5.563770730576678e-06,0.0,0.0,0.0,0.0,0.0
36,x0,xt,ml,1.0393565730253855,-0.06096100648244222,0.0020158026615779007,7.97808170316383e-06,0.0,0.0,0.0,0.0,0.0
37,x0,xt,ml,-0.9591983469327277,-0.06112731893857361,0.00013055125872252216,1.1301040643285631e-06,0.0,0.0,0.0,0.0,0.0
38,x0,xt,ml,-0.9592162347833303,-0.06112530519564978,0.00014862447977045945,-1.0690093046328286e-06,0.0,0.0,0.0,0.0,0.0
39,x0,xt,ml,-0.9592165543635676,-0.061125172773997274,0.00014884809652943032,-1.105467479112221e-06,0.0,0.0,0.0,0.0,0.0
40,x0,xt,ml,-0.9612529070178657,-0.06082991311947531,0.0018922079602874953,-3.3723314607492227e-06,0.0,0.0,0.0,0.0,0.0
41,x0,xt,ml,-0.961270224849382,-0.06082685748736105,0.0019024399916329343,6.578365956411147e-07,0.0,0.0,0.0,0.0,0.0
42,x0,xt,ml,-0.9612719752391168,-0.06082640667756431,0.0019031622012452981,1.2352069214127681e-06,0.0,0.0,0.0,0.0,0.0
43,x0,xt,ml,1.0391410601139068,-0.061060280402501395,0.002336041927337537,4.909833272503938e-06,0.0,0.0,0.0,0.0,0.0
44,x0,xt,ml,1.0391408704717955,-0.061061133046944965,0.002336986561616114,2.8617183368551125e-06,0.0,0.0,0.0,0.0,0.0
45,x0,xt,ml,1.039141125579675,-0.06106261163949976,0.0023453490932782983,-1.4171699682763439e-05,0.0,0.0,0.0,0.0,0.0
46,x0,xt,ml,-0.383123420154055,-0.6208846777429181,-0.01623467696209735,4.902876913503995e-05,0.0,0.0,0.0,0.0,0.0
47,x0,xt,ml,0.7327568310623366,0.23059674746046468,0.017058069817721913,-2.880766987178873e-07,0.0,0.0,0.0,0.0,0.0
48,x0,xt,ml,1.0446632643540699,-0.060463336507479336,-0.0037781578302383823,-2.541939417288752e-06,0.0,0.0,0.0,0.0,0.0
49,x0,xt,ml,-0.9635471763213466,-0.060403445363045025,0.003748787641525003,7.849534352288856e-06,0.0,0.0,0.0,0.0,0.0
50,x0,xt,ml,-0.96354714522759,-0.0604034267862641,0.0037487291296319503,7.85837570793646e-06,0.0,0.0,0.0,0.0,0.0
51,x0,xt,ml,-0.9626667411128669,-0.06057365864515316,0.003051003118355766,-4.587868850158827e-06,0.0,0.0,0.0,0.0,0.0
52,x0,xt,ml,1.0381243257721264,-0.06113288670778276,0.0034302923083304876,-4.291435082626194e-06,0.0,0.0,0.0,0.0,0.0
53,x0,xt,ml,0.8656508272637923,0.10204724105695881,0.012899623438716104,-9.656690061099482e-05,0.0,0.0,0.0,0.0,0.0
54,x0,xt,ml,1.032245215301712,-0.057661909138162826,0.006071751341223688,-0.0001951790601013581,0.0,0.0,0.0,0.0,0.0
55,x0,xt,ml,-0.5540645994370179,-0.45234541531652195,-0.01377486870934587,-8.981836338906035e-06,0.0,0.0,0.0,0.0,0.0
56,x0,xt,ml,-0.5540924468388156,-0.4522501110037166,-0.013746514469385296,-0.00010491219659680695,0.0,0.0,0.0,0.0,0.0
57,x0,xt,ml,-0.4801191832621889,-0.5271984679500255,-0.012876711140076769,4.970530662617989e-07,0.0,0.0,0.0,0.0,0.0
58,x0,xt,ml,-0.480095529183745,-0.5272485225150976,-0.01283378951251539,-1.6024087866828296e-05,0.0,0.0,0.0,0.0,0.0
59,x0,xt,ml,-0.4797955001642302,-0.5278355894237754,-0.012738912925124468,0.00017601800461575223,0.0,0.0,0.0,0.0,0.0
60,x0,xt,ml,-0.3936943705131608,-0.6117490004748101,-0.014830716823538342,8.022251228445576e-05,0.0,0.0,0.0,0.0,0.0
61,x0,xt,ml,-0.3937657748783625,-0.6117239810898898,-0.014709934530159063,5.705989897020203e-06,0.0,0.0,0.0,0.0,0.0
62,x0,xt,ml,-0.3936839708189167,-0.611813964794079,-0.01475868413845724,6.2754452228031e-05,0.0,0.0,0.0,0.0,0.0
63,x0,xt,ml,1.0433217749993005,-0.06071446955204007,-0.002239675919215034,-3.7145614620870404e-06,0.0,0.0,0.0,0.0,0.0
64,x0,xt,ml,1.0433187188704807,-0.06071448306242626,-0.0022361773252485145,-3.070632616730684e-06,0.0,0.0,0.0,0.0,0.0
65,x0,xt,ml,1.0355316983660066,-0.06116757432619746,0.006071051359176405,-3.3111373582972448e-06,0.0,0.0,0.0,0.0,0.0
66,x0,xt,ml,1.035532650326689,-0.061168952062726226,0.006069874490300761,-4.4503062960332684e-06,0.0,0.0,0.0,0.0,0.0
67,x0,xt,ml,-0.963584590256213,-0.06047533680995343,0.0038784481088318112,-1.2505551179931018e-05,0.0,0.0,0.0,0.0,0.0
68,x0,xt,ml,-0.9635808567206053,-0.0604717753330871,0.0038510515292483616,7.596015929811628e-06,0.0,0.0,0.0,0.0,0.0
69,x0,xt,ml,-0.963580048183599,-0.060470084249973514,0.0038427826762196665,1.3365248838326238e-05,0.0,0.0,0.0,0.0,0.0
70,x0,xt,ml,1.0447305745879807,-0.06043230881293611,-0.0038772931694984886,-1.0292728739313972e-06,0.0,0.0,0.0,0.0,0.0
71,x0,xt,ml,-0.7839591291050109,-0.22747392103075967,-0.00885675693551724,9.582256277318457e-05,0.0,0.0,0.0,0.0,0.0
72,x0,xt,ml,-0.7840021437654886,-0.2274068071196475,-0.008815279180805255,3.0364766716362013e-05,0.0,0.0,0.0,0.0,0.0
73,x0,xt,ml,1.0438293294111884,-0.06057760854562123,-0.002884108424186446,-2.0285447438483928e-06,0.0,0.0,0.0,0.0,0.0
74,x0,xt,ml,1.042965545852979,-0.06070652981599162,-0.0018901932239534097,-5.861520766980988e-06,0.0,0.0,0.0,0.0,0.0
75,x0,xt,ml,1.0429603785276411,-0.06070361355940514,-0.0018893428643544236,-1.8382072446421205e-06,0.0,0.0,0.0,0.0,0.0
76,x0,xt,ml,1.042963528136412,-0.06070543736219405,-0.0018903147180873436,-3.6226709683173652e-06,0.0,0.0,0.0,0.0,0.0
77,x0,xt,ml,1.042555333773295,-0.060374328096707904,-0.0017962878942487243,-1.7822583516236e-05,0.0,0.0,0.0,0.0,0.0
78,x0,xt,ml,1.0387403402725857,-0.0609387717644376,0.002617618640263761,-1.1511643724926302e-06,0.0,0.0,0.0,0.0,0.0
79,x0,xt,ml,1.0387429270148278,-0.06094123452901859,0.0026206971208253688,-1.1148552099715658e-05,0.0,0.0,0.0,0.0,0.0
80,x0,xt,ml,1.0416720052560169,-0.060787125627199845,-0.0005167549848557884,9.618600209981842e-06,0.0,0.0,0.0,0.0,0.0
